Number;Threads;Time
1000000000;16; 258.427268
10000000000;16; 386.859449
100000;32; 0.027247
1000000;32; 0.269577
10000000;32; 2.670221
100000000;32; 26.295816
1000000000;32; 266.820588
10000000000;32; 383.780243
100000;2; 0.015863
1000000;2; 0.153628
10000000;2; 1.516128
100000000;2; 15.322814
1000000000;2; 158.423450
10000000000;2; 217.382751
100000;4; 0.013638
1000000;4; 0.126104
10000000;4; 1.316374
100000000;4; 13.173787
1000000000;4; 130.743276
10000000000;4; 177.391648
100000;8; 0.024274
1000000;8; 0.237872
10000000;8; 2.509907
100000000;8; 23.997588
1000000000;8; 233.475167
10000000000;8; 339.936174
100000;16; 0.025599
1000000;16; 0.274642
10000000;16; 2.667346
100000000;16; 27.099818
1000000000;16; 266.493116
10000000000;16; 386.978179
100000;32; 0.025560
1000000;32; 0.273330
10000000;32; 2.663805
100000000;32; 26.625299
1000000000;32; 267.360382
10000000000;32; 375.938053

