Number;Process;Time
1000000000;16; 6.045418
10000000000;16; 8.544075
100000;32; 0.002173
1000000;32; 0.007928
10000000;32; 0.062604
100000000;32; 0.920875
1000000000;32; 6.030176
10000000000;32; 8.431552
100000;2; 0.002752
1000000;2; 0.023048
10000000;2; 0.229511
100000000;2; 2.270304
1000000000;2; 22.439121
10000000000;2; 31.963210
100000;4; 0.001803
1000000;4; 0.011788
10000000;4; 0.115940
100000000;4; 1.154743
1000000000;4; 11.455193
10000000000;4; 16.212474
100000;8; 0.001211
1000000;8; 0.007181
10000000;8; 0.061272
100000000;8; 0.623537
1000000000;8; 6.177480
10000000000;8; 8.682728
100000;16; 0.001511
1000000;16; 0.007045
10000000;16; 0.060555
100000000;16; 0.645922
1000000000;16; 6.380534
10000000000;16; 8.757447
100000;32; 0.002246
1000000;32; 0.008158
10000000;32; 0.064123
100000000;32; 0.692315
1000000000;32; 6.297649
10000000000;32; 9.100894

