Number;Process;Time
1000000000;16; 4.187308
10000000000;16; 5.882252
100000;32; 0.002031
1000000;32; 0.005734
10000000;32; 0.046238
100000000;32; 0.428579
1000000000;32; 4.206910
10000000000;32; 5.855926
100000;2; 0.001869
1000000;2; 0.016321
10000000;2; 0.165506
100000000;2; 1.642320
1000000000;2; 16.640272
10000000000;2; 23.489072
100000;4; 0.001188
1000000;4; 0.008838
10000000;4; 0.085734
100000000;4; 0.848077
1000000000;4; 8.400688
10000000000;4; 11.610429
100000;8; 0.000972
1000000;8; 0.005463
10000000;8; 0.044046
100000000;8; 0.462309
1000000000;8; 4.452199
10000000000;8; 6.262714
100000;16; 0.001237
1000000;16; 0.005207
10000000;16; 0.042785
100000000;16; 0.440916
1000000000;16; 4.164884
10000000000;16; 5.861400
100000;32; 0.002099
1000000;32; 0.005436
10000000;32; 0.045322
100000000;32; 0.436235
1000000000;32; 4.171510
10000000000;32; 5.877740

