Number;Threads;Time
1000000000;16; 190.800646
10000000000;16; 275.213703
100000;32; 0.019722
1000000;32; 0.196122
10000000;32; 1.922510
100000000;32; 19.142263
1000000000;32; 191.785518
10000000000;32; 270.317076
100000;2; 0.011997
1000000;2; 0.120024
10000000;2; 1.157446
100000000;2; 9.319987
1000000000;2; 113.395226
10000000000;2; 158.536282
100000;4; 0.008152
1000000;4; 0.079498
10000000;4; 0.954861
100000000;4; 9.535490
1000000000;4; 94.789207
10000000000;4; 130.551689
100000;8; 0.018415
1000000;8; 0.170994
10000000;8; 1.637208
100000000;8; 17.132714
1000000000;8; 167.616258
10000000000;8; 240.646717
100000;16; 0.017547
1000000;16; 0.186981
10000000;16; 1.900125
100000000;16; 18.958886
1000000000;16; 191.414370
10000000000;16; 266.204421
100000;32; 0.017997
1000000;32; 0.191484
10000000;32; 1.920924
100000000;32; 18.587286
1000000000;32; 191.723608
10000000000;32; 271.484943

